Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	14	0	01/01/2013	12/31/2013	USD	VN	USD	503030130	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	2	0	01/01/2013	12/31/2013	USD	BR	USD	512427818	0	 	 	 	 	Games
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	2	0	01/01/2013	12/31/2013	EUR	LU	EUR	512427818	0	 	 	 	 	 
APPLE	US	310512	D Hearts Vietnam	StarMine V1.0	1.0	1	4	0	01/01/2013	12/31/2013	RUB	RU	RUB	532110894	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	6	0	01/01/2013	12/31/2013	AED	AE	AED	512427818	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	1	0	01/01/2013	12/31/2013	EUR	RO	EUR	503030130	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	7	1	0	01/01/2013	12/31/2013	CNY	CN	CNY	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	3	0	01/01/2013	12/31/2013	EUR	DE	EUR	512427818	0	 	 	 	 	Games
APPLE	US	310512	D Hearts Vietnam	StarMine V1.0	1.0	1	1	0	01/01/2013	12/31/2013	USD	AR	USD	532110894	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	2	0	01/01/2013	12/31/2013	INR	IN	INR	503030130	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	30	0	01/01/2013	12/31/2013	AUD	AU	AUD	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	2	0	01/01/2013	12/31/2013	USD	HR	USD	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	2	0	01/01/2013	12/31/2013	EUR	ES	EUR	512427818	0	 	 	 	 	Games
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	2	0	01/01/2013	12/31/2013	EUR	ES	EUR	503030130	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	7	22	0	01/01/2013	12/31/2013	JPY	JP	JPY	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	2	0	01/01/2013	12/31/2013	USD	CL	USD	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	1	0	01/01/2013	12/31/2013	SEK	SE	SEK	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	7	13	0	01/01/2013	12/31/2013	USD	US	USD	512427818	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	1	0	01/01/2013	12/31/2013	USD	VN	USD	503030130	0	 	 	 	 	Games
APPLE	US	310512	D Hearts Vietnam	StarMine V1.0	1.0	1	1	0	01/01/2013	12/31/2013	CAD	CA	CAD	532110894	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	1	0	01/01/2013	12/31/2013	USD	CO	USD	503030130	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	44	0	01/01/2013	12/31/2013	MXN	MX	MXN	512427818	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	1	0	01/01/2013	12/31/2013	EUR	ES	EUR	503030130	0	 	 	 	 	Games
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	1	0	01/01/2013	12/31/2013	USD	GT	USD	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	8	0	01/01/2013	12/31/2013	SAR	SA	SAR	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	10	0	01/01/2013	12/31/2013	USD	TD	USD	512427818	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	2	0	01/01/2013	12/31/2013	AED	AE	AED	503030130	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	3	0	01/01/2013	12/31/2013	EUR	DE	EUR	503030130	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	1	0	01/01/2013	12/31/2013	USD	TD	USD	512427818	0	 	 	 	 	Games
APPLE	US	310512	D Hearts Vietnam	StarMine V1.0	1.0	1	1	0	01/01/2013	12/31/2013	USD	EG	USD	532110894	0	 	 	 	 	Games
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	8	0	01/01/2013	12/31/2013	USD	DZ	USD	512427818	0	 	 	 	 	 
